Images may be subject to copyright.	图片可能受版权保护。
Try more general keywords.	请改用较常见的字词。
Make sure all words are spelled correctly.	请检查输入字词有无错误。
Click for video information	点击即可获取视频信息
Click for product information	点击即可获取产品信息
Check website for latest pricing and availability.	访问网站以查看最新价格和供货情况
Tap and hold to copy link	点按并按住即可复制链接
Tap to copy link	点按即可复制链接
Looks like this collection is empty	这个集合中好像没有内容
Bring back cards you removed	恢复移除的资讯卡
Stop seeing certain cards	停止显示特定资讯卡
Anyone with the link can see this collection	任何知道链接的人都可以查看此集合
Only you can see this collection	只有您可以查看此集合
Tap a match to see player stats	点按比赛即可查看选手统计信息
Failed to change your settings. Try again later.	未能更改您的设置，请稍后重试。
To get alerts, notifications should be turned on in both Google app and device settings.	要收到此类提醒，必须在 Google 应用和设备设置中开启通知功能。
Keep your Google Account secure: Get real-time security alerts directly on your device.	确保您的 Google 帐号安全无虞：直接在您的设备上收到实时安全提醒。
Unfollowing will remove this collection from your list of collections.	取消关注后，此集合将从您的集合列表中移除。
Full time · See stats, news, and more	已结束 · 查看统计信息、新闻及其他相关内容
Send us your video content	将您的视频内容发送给我们
Harness the power of GIFs to reach an engaged audience of 350M+ people.	借助 GIF 的强大功能，将您的内容展示给超过 3.5 亿参与度较高的受众。
Only you can see your personal results.	只有您本人可以看到自己的个人信息相关结果。
To include an app in search results, tap it again.	要在搜索结果中包含某个应用中的内容，请再次点按该应用。
How your app info stays private	我们如何确保您的应用信息的私密性
To remove an app from search results, tap it.	要从搜索结果中移除某个应用中的内容，请点按该应用。
When you search in apps on your phone, you can see:	当您搜索手机上的应用中的内容时，可以看到：
In the search box, type what you’re looking for.	在搜索框中输入要查找的内容。
Tap the language you want to view the translation.	您可以点按选择将网页翻译成何种语言。
This field is required.	此字段是必填字段。
Sign in to save jobs	需登录才能保存招聘信息
Only you and your parent can see this data. Google protects your privacy and security.	只有您和您的家长能看到这些数据。Google 会保护您的隐私和安全。
Only you can see this data. Google protects your privacy and security.	只有您能看到这些数据。Google 会保护您的隐私和安全。
Search business class flights	搜索商务舱航班
